Year,Input,Output,TFP
1977–78,100,100,100
1978–79,92,108,117
1979–80,99,115,117
1980–81,91,90,99
1981–82,96,110,115
1982–83,93,90,97
1983–84,87,115,132
1984–85,90,115,128
1985–86,80,104,129
1986–87,78,100,129
1987–88,76,96,126
1988–89,78,100,129
1989–90,83,116,139
1990–91,80,114,142
1991–92,76,101,134
1992–93,75,111,148
1993–94,73,115,157
1994–95,71,90,126
1995–96,72,113,157
1996–97,72,120,167
1997–98,74,116,156
1998–99,73,121,165
1999–2000,75,130,173
2000–01,75,122,162
2001–02,76,126,167
2002–03,81,95,117
2003–04,80,127,158
2004–05,76,115,152
2005–06,76,126,167
2006–07,74,98,133
2007–08,63,90,144
2008–09,60,99,164
2009–10,63,101,162
2010–11,64,111,174
2011–12,64,118,185
2012–13,66,115,174
2013–14,68,120,177
2014–15,71,116,164
2015–16,67,111,167
2016–17,66,126,190
2017–18,69,115,167
2018–19,73,106,146
2019–20,74,97,132
